run_tag,run_id,family,model,seed,source_predictions,reference_col,feature_cache,structure_cache,source_kind,lora_checkpoint,notes,n_train,n_val,n_test
alignn_seed20260528,alignn_seed20260528,alignn,ALIGNN,20260528,<RUNS_ROOT>/task_specific_reference_299_308/reference_providers/true_alignn_reference/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated true ALIGNN affine reference,8192,1024,2048
alignn_seed20260529,alignn_seed20260529,alignn,ALIGNN,20260529,<RUNS_ROOT>/task_specific_reference_299_308/reference_providers/true_alignn_reference/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated true ALIGNN affine reference,8192,1024,2048
alignn_seed20260530,alignn_seed20260530,alignn,ALIGNN,20260530,<RUNS_ROOT>/task_specific_reference_299_308/reference_providers/true_alignn_reference/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated true ALIGNN affine reference,8192,1024,2048
chgnet_seed20260528,chgnet_seed20260528,chgnet,CHGNet,20260528,<RUNS_ROOT>/task_specific_reference_299_308/reference_providers/chgnet_reference/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated CHGNet affine reference,8192,1024,2048
chgnet_seed20260529,chgnet_seed20260529,chgnet,CHGNet,20260529,<RUNS_ROOT>/task_specific_reference_299_308/reference_providers/chgnet_reference/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated CHGNet affine reference,8192,1024,2048
chgnet_seed20260530,chgnet_seed20260530,chgnet,CHGNet,20260530,<RUNS_ROOT>/task_specific_reference_299_308/reference_providers/chgnet_reference/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated CHGNet affine reference,8192,1024,2048
eqv3_base_seed20260528,eqv3_base_seed20260528,eqv3_base,EqV3,20260528,<RUNS_ROOT>/eqv3_matched_benchmark_20260725/calibration/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/eqv3_matched_benchmark_20260725/structure_cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated frozen EqV3 affine reference; primary-missing rows filtered.,8175,1022,2043
eqv3_base_seed20260529,eqv3_base_seed20260529,eqv3_base,EqV3,20260529,<RUNS_ROOT>/eqv3_matched_benchmark_20260725/calibration/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/eqv3_matched_benchmark_20260725/structure_cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated frozen EqV3 affine reference; primary-missing rows filtered.,8175,1022,2043
eqv3_base_seed20260530,eqv3_base_seed20260530,eqv3_base,EqV3,20260530,<RUNS_ROOT>/eqv3_matched_benchmark_20260725/calibration/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/eqv3_matched_benchmark_20260725/structure_cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated frozen EqV3 affine reference; primary-missing rows filtered.,8175,1022,2043
eqv3_lora_seed20260528,eqv3_lora_seed20260528,eqv3_lora,EqV3-LoRA,20260528,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260528/lora_direct_primary_package/calibrated_predictions.csv,pred_element_reference,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260528/lora_primary_calibration/composition_feature_cache.csv,<RUNS_ROOT>/eqv3_matched_benchmark_20260725/structure_cache/structure_metadata.csv,frozen_lora_direct_prediction,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260528/native/residual_lora_seed20260528_best.pt,Frozen EqV3 LoRA prediction reused as R(x); LoRA is not retrained.,8192,1024,2048
eqv3_lora_seed20260529,eqv3_lora_seed20260529,eqv3_lora,EqV3-LoRA,20260529,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260529/lora_direct_primary_package/calibrated_predictions.csv,pred_element_reference,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260529/lora_primary_calibration/composition_feature_cache.csv,<RUNS_ROOT>/eqv3_matched_benchmark_20260725/structure_cache/structure_metadata.csv,frozen_lora_direct_prediction,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260529/native/residual_lora_seed20260529_best.pt,Frozen EqV3 LoRA prediction reused as R(x); LoRA is not retrained.,8192,1024,2048
eqv3_lora_seed20260530,eqv3_lora_seed20260530,eqv3_lora,EqV3-LoRA,20260530,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260530/lora_direct_primary_package/calibrated_predictions.csv,pred_element_reference,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260530/lora_primary_calibration/composition_feature_cache.csv,<RUNS_ROOT>/eqv3_matched_benchmark_20260725/structure_cache/structure_metadata.csv,frozen_lora_direct_prediction,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260530/native/residual_lora_seed20260530_best.pt,Frozen EqV3 LoRA prediction reused as R(x); LoRA is not retrained.,8192,1024,2048
eqv3_lora_seed20260531,eqv3_lora_seed20260531,eqv3_lora,EqV3-LoRA,20260531,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260531/lora_direct_primary_package/calibrated_predictions.csv,pred_element_reference,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260531/lora_primary_calibration/composition_feature_cache.csv,<RUNS_ROOT>/eqv3_matched_benchmark_20260725/structure_cache/structure_metadata.csv,frozen_lora_direct_prediction,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260531/native/residual_lora_seed20260531_best.pt,Frozen EqV3 LoRA prediction reused as R(x); LoRA is not retrained.,8192,1024,2048
eqv3_lora_seed20260532,eqv3_lora_seed20260532,eqv3_lora,EqV3-LoRA,20260532,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260532/lora_direct_primary_package/calibrated_predictions.csv,pred_element_reference,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260532/lora_primary_calibration/composition_feature_cache.csv,<RUNS_ROOT>/eqv3_matched_benchmark_20260725/structure_cache/structure_metadata.csv,frozen_lora_direct_prediction,<RUNS_ROOT>/eqv3_lora_fegx_multiseed_20260904/seed20260532/native/residual_lora_seed20260532_best.pt,Frozen EqV3 LoRA prediction reused as R(x); LoRA is not retrained.,8192,1024,2048
mace_seed20260528,mace_seed20260528,mace,MACE,20260528,<RUNS_ROOT>/real_fegx_foundation_replacement_272/reference_conversion/mace_reference/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated MACE affine reference,8192,1024,2048
mace_seed20260529,mace_seed20260529,mace,MACE,20260529,<RUNS_ROOT>/real_fegx_foundation_replacement_272/reference_conversion/mace_reference/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated MACE affine reference,8192,1024,2048
mace_seed20260530,mace_seed20260530,mace,MACE,20260530,<RUNS_ROOT>/real_fegx_foundation_replacement_272/reference_conversion/mace_reference/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated MACE affine reference,8192,1024,2048
matris_seed20260528,matris_seed20260528,matris,MatRIS,20260528,<RUNS_ROOT>/eqv3_matched_benchmark_20260725_corrected_medium_20260725/matris_aux_calibration/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated MatRIS affine reference; primary-missing rows filtered.,8176,1023,2045
matris_seed20260529,matris_seed20260529,matris,MatRIS,20260529,<RUNS_ROOT>/eqv3_matched_benchmark_20260725_corrected_medium_20260725/matris_aux_calibration/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated MatRIS affine reference; primary-missing rows filtered.,8176,1023,2045
matris_seed20260530,matris_seed20260530,matris,MatRIS,20260530,<RUNS_ROOT>/eqv3_matched_benchmark_20260725_corrected_medium_20260725/matris_aux_calibration/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated MatRIS affine reference; primary-missing rows filtered.,8176,1023,2045
sevennet_seed20260528,sevennet_seed20260528,sevennet,SevenNet,20260528,<RUNS_ROOT>/sevennet_upper_bound_279/m4_native_embedding_reference/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated SevenNet m4 native-embedding reference,8192,1024,2048
sevennet_seed20260529,sevennet_seed20260529,sevennet,SevenNet,20260529,<RUNS_ROOT>/sevennet_upper_bound_279/m4_native_embedding_reference/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated SevenNet m4 native-embedding reference,8192,1024,2048
sevennet_seed20260530,sevennet_seed20260530,sevennet,SevenNet,20260530,<RUNS_ROOT>/sevennet_upper_bound_279/m4_native_embedding_reference/calibrated_predictions.csv,pred_affine_energy_composition,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/composition_features.csv,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/cache/structure_metadata.csv,train_only_calibrated_reference,,train-only calibrated SevenNet m4 native-embedding reference,8192,1024,2048
