section,claim_or_table,artifact
protocol_audit,tab:protocol_delta,<RUNS_ROOT>/paper_task_audit_20260626/mp_jarvis_formula_prototype_structure_delta_audit_20260626.csv
protocol_audit,strict_manifest,<RUNS_ROOT>/paper_closure_331_341/334_cross_dft_same_structure/structure_match_manifest.csv
reference_calibration,tab:calibrated_reference_quality,<RUNS_ROOT>/real_fegx_foundation_replacement_272/reference_conversion/mace_reference_summary.json
reference_calibration,tab:calibrated_reference_quality,<RUNS_ROOT>/real_fegx_foundation_replacement_272/reference_conversion/sevennet_reference_summary.json
reference_calibration,tab:calibrated_reference_quality,<RUNS_ROOT>/real_fegx_foundation_replacement_272/reference_conversion/mattersim_reference_summary.json
reference_calibration,fold0_official_reference_rows,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/matris_reference/metrics.json
reference_calibration,fold0_official_reference_rows,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/fold0/eqv3_reference/metrics.json
main_results,tab:main_in_protocol_results,<RUNS_ROOT>/official_benchmark_214/matbench_e_form_5fold/matbench_5fold_3seed_summary.json
main_results,tab:main_in_protocol_results,<RUNS_ROOT>/official_benchmark_214/jarvis_fe_leaderboard/jarvis_leaderboard_metrics.csv
main_results,tab:main_in_protocol_results,<RUNS_ROOT>/task_specific_reference_299_308/gnome_local_train_to_zs_fegx_v9/gnome_local_train_to_zs_metrics_by_model.csv
main_results,tab:main_in_protocol_results,<RUNS_ROOT>/task_specific_reference_299_308/gnome_same_source_38w_v10/gnome_same_source_38w_to_zs_metrics_by_model.csv
controlled_mechanism,tab:alternative_baselines,<RUNS_ROOT>/paper_closure_331_341/335_component_recheck/component_mean_std_table.csv
controlled_mechanism,tab:alternative_baselines,<RUNS_ROOT>/paper_closure_331_341/336_residual_task_decomposition/direct_vs_residual_same_capacity.csv
controlled_mechanism,tab:alternative_baselines,<RUNS_ROOT>/paper_closure_331_341/339_stacking_capacity_extended_20260626/stacking_baseline_metrics_extended.csv
label_scaling,fewshot_text,<RUNS_ROOT>/paper_closure_331_341/333_zero_fewshot_transfer_strict_trainval_ridgefix_20260626/strict_fewshot_results_pivot.csv
label_scaling,fewshot_full_label,<RUNS_ROOT>/paper_closure_331_341/333_zero_fewshot_transfer_strict_trainval_ridgefix_20260626/n44999_seed20260528/strict_unit_eval_metrics.csv
wrong_protocol_transfer,tab:wrong_protocol_transfer,<RUNS_ROOT>/paper_mechanism_tables_290/protocol_transfer_matrix_for_paper.csv
ranking,same_formula_and_topk,<RUNS_ROOT>/paper_closure_331_341/340_error_ranking_screening/ranking_metrics.csv
ranking,same_formula_and_topk,<RUNS_ROOT>/paper_closure_331_341/340_error_ranking_screening/topk_screening_recall.csv
ranking,jarvis_same_formula,<RUNS_ROOT>/fegx1g_pairenv_oam_3seed_error_anatomy/metrics.json
risk,disagreement,<RUNS_ROOT>/paper_mechanism_tables_290/disagreement_risk_curve.csv
failure_modes,slice_errors,<RUNS_ROOT>/paper_closure_331_341/340_error_ranking_screening/error_distribution_by_slice.csv
failure_modes,reference_residual_interaction,<RUNS_ROOT>/paper_task_audit_20260626/reference_residual_interaction_20260626.csv
